method,n,p,m,alpha,gamma,sigma_sq,rotation_method,lambda,mean_mse,se_mse,mean_loading_error,se_loading_error,mean_false_positive_rate,se_false_positive_rate,mean_false_negative_rate,se_false_negative_rate,mean_factor_score_cor,se_factor_score_cor
EFA (oblimin),100,50,3,0.2,0,0.1,oblimin,NA,0.17158792851088578,8.682497334360561e-4,1.2407123352315006,0.017762085736679773,0.5865,0.01624446530548865,0.17072727272727273,0.0072972222007318946,0.3611483142648237,NA
EFA (oblimin),100,50,3,0.2,0,1,oblimin,NA,0.9375984339348477,0.0026850565512093884,2.293349923672624,0.06199754883210892,0.749,0.01681168204140277,0.1509090909090909,0.007433292478573603,0.4765705463361286,NA
EFA (oblimin),100,50,3,0.2,0,5,oblimin,NA,4.820218477142181,0.013551156881753049,6.205749330468426,0.08948964944791216,0.78,0.012535663410560172,0.21145454545454545,0.006112511190264172,0.2645589974941779,NA
EFA (oblimin),100,50,3,0.2,1,0.1,oblimin,NA,0.19301626076387957,5.502983457159402e-4,1.0738962751862053,0.013629822167936491,0.542,0.014041483728798834,0.102,0.005901822274194765,0.6518273636844188,NA
EFA (oblimin),100,50,3,0.2,1,1,oblimin,NA,0.9174624258620927,0.0028382259673029957,2.4465318060935437,0.04324483745457299,0.6925,0.011276895288462103,0.13145454545454546,0.0054123912227890736,0.6344274187821084,NA
EFA (oblimin),100,50,3,0.2,1,5,oblimin,NA,4.775245805228831,0.01491056217263247,4.787027121370614,0.05693854479223619,0.751,0.012267428252016285,0.21727272727272726,0.006709398105501033,0.26778648841935365,NA
EFA (oblimin),100,50,3,0.2,2,0.1,oblimin,NA,0.1977775103368432,4.898427499707703e-4,0.9946630129764364,0.018572359525310236,0.585,0.011693361102674927,0.07709090909090908,0.003257022719878906,0.7966643527496902,NA
EFA (oblimin),100,50,3,0.2,2,1,oblimin,NA,0.9084861105085972,0.00283552551406907,2.2842058222618435,0.04429116526613339,0.712,0.009509393851795785,0.14472727272727273,0.005378818800158492,0.5351831379770611,NA
EFA (oblimin),100,50,3,0.2,2,5,oblimin,NA,4.7354778259023185,0.013957797404202974,3.941185110393312,0.03724013153081807,0.767,0.00998570406702931,0.21418181818181817,0.005110748514600442,0.2558546628013592,NA
EFA (oblimin),100,50,3,0.5,0,0.1,oblimin,NA,0.1096119843204877,9.599396998038756e-4,0.3342965640057679,0.004990920510618996,0.4978,0.029019754003936346,0.396,0.059095218909478484,0.34933184785917265,NA
