method,n,p,m,alpha,gamma,sigma_sq,rotation_method,lambda,mean_mse,se_mse,mean_loading_error,se_loading_error,mean_false_positive_rate,se_false_positive_rate,mean_false_negative_rate,se_false_negative_rate,mean_factor_score_cor,se_factor_score_cor
EFA (oblimin),100,50,3,0.2,0,0.1,oblimin,NA,0.17866002279881346,NA,1.2867863134613522,NA,0.525,NA,0.13636363636363635,NA,0.49244599671772127,NA
EFA (oblimin),100,50,3,0.2,0,1,oblimin,NA,0.9621400733727935,NA,1.8361000378760863,NA,0.775,NA,0.18181818181818182,NA,0.26683561938426364,NA
EFA (oblimin),100,50,3,0.2,0,5,oblimin,NA,4.739015532023149,NA,5.916422012426221,NA,0.85,NA,0.19090909090909092,NA,0.00818897055396015,NA
EFA (oblimin),100,50,3,0.2,1,0.1,oblimin,NA,0.1991861328837267,NA,1.0456025290057624,NA,0.65,NA,0.17272727272727273,NA,0.4102993565214839,NA
EFA (oblimin),100,50,3,0.2,1,1,oblimin,NA,0.9400443392510417,NA,2.2607954977146045,NA,0.625,NA,0.15454545454545454,NA,0.7351619606529293,NA
EFA (oblimin),100,50,3,0.2,1,5,oblimin,NA,4.601216063074136,NA,5.29345982816998,NA,0.6,NA,0.34545454545454546,NA,0.36090650314909245,NA
EFA (oblimin),100,50,3,0.2,2,0.1,oblimin,NA,0.20058226962776177,NA,0.852562220411035,NA,0.6,NA,0.06363636363636363,NA,0.8714222121188063,NA
EFA (oblimin),100,50,3,0.2,2,1,oblimin,NA,0.9282721501334399,NA,2.182890546754594,NA,0.75,NA,0.12727272727272726,NA,0.5744452019001732,NA
EFA (oblimin),100,50,3,0.2,2,5,oblimin,NA,4.6540801133930705,NA,4.054926130904598,NA,0.925,NA,0.23636363636363636,NA,0.2431563787972687,NA
EFA (oblimin),100,50,3,0.5,0,0.1,oblimin,NA,0.1118896021034808,NA,0.39641043490931693,NA,0.35,NA,0,NA,0.6304303816195839,NA
EFA (oblimin),100,50,3,0.5,0,1,oblimin,NA,0.8928423418476265,NA,2.2380845435762993,NA,0.83,NA,0.48,NA,-0.09674474979379466,NA
EFA (oblimin),100,50,3,0.5,0,5,oblimin,NA,4.890989857196051,NA,7.43362537703203,NA,0.77,NA,0.02,NA,0.5511262815579967,NA
EFA (oblimin),100,50,3,0.5,1,0.1,oblimin,NA,0.14035844941984926,NA,0.30204357483524547,NA,0.37,NA,0,NA,0.6366027669712095,NA
EFA (oblimin),100,50,3,0.5,1,1,oblimin,NA,0.930996834058872,NA,2.517064946206819,NA,0.67,NA,0,NA,0.650867951983465,NA
EFA (oblimin),100,50,3,0.5,1,5,oblimin,NA,4.841014716056972,NA,6.511933712580673,NA,0.69,NA,0.18,NA,0.22971906542200188,NA
EFA (oblimin),100,50,3,0.5,2,0.1,oblimin,NA,0.1674749689497752,NA,0.4050251104003486,NA,0.44,NA,0,NA,0.6780175136801798,NA
EFA (oblimin),100,50,3,0.5,2,1,oblimin,NA,0.9366222175198924,NA,2.7344538019073816,NA,0.76,NA,0.02,NA,0.5924185208182111,NA
EFA (oblimin),100,50,3,0.5,2,5,oblimin,NA,4.729066617502459,NA,7.550989735918973,NA,0.74,NA,0.14,NA,0.4068609047614173,NA
EFA (oblimin),100,50,3,0.8,0,0.1,oblimin,NA,0.10304095612542014,NA,0.7374192096612973,NA,0.5272727272727272,NA,0,NA,0.39878888490726416,NA
EFA (oblimin),100,50,3,0.8,0,1,oblimin,NA,0.9552478248990179,NA,2.4285890723990144,NA,0.7,NA,0,NA,0.2661576569870433,NA
EFA (oblimin),100,50,3,0.8,0,5,oblimin,NA,4.669276663316387,NA,4.509995025453748,NA,0.8,NA,0.175,NA,0.21870161263299823,NA
EFA (oblimin),100,50,3,0.8,1,0.1,oblimin,NA,0.09830343026989856,NA,0.8469881652127054,NA,0.5545454545454546,NA,0,NA,0.3713583285789412,NA
EFA (oblimin),100,50,3,0.8,1,1,oblimin,NA,0.92468507100299,NA,2.855076045532585,NA,0.7545454545454545,NA,0,NA,0.269768459597034,NA
EFA (oblimin),100,50,3,0.8,1,5,oblimin,NA,4.794260403282758,NA,4.569058162661506,NA,0.8090909090909091,NA,0.15,NA,0.2694944906066984,NA
EFA (oblimin),100,50,3,0.8,2,0.1,oblimin,NA,0.11109543340249711,NA,1.0373687962295648,NA,0.45454545454545453,NA,0,NA,0.31081965172875076,NA
EFA (oblimin),100,50,3,0.8,2,1,oblimin,NA,0.9463822575784948,NA,3.8304321039530125,NA,0.8272727272727273,NA,0.075,NA,0.2610328046950867,NA
EFA (oblimin),100,50,3,0.8,2,5,oblimin,NA,4.798993564141118,NA,4.719641311878541,NA,0.7818181818181819,NA,0.075,NA,0.29080672874951524,NA
EFA (oblimin),100,50,5,0.2,0,0.1,oblimin,NA,0.1501608020339956,NA,1.1719645808568586,NA,0.5,NA,0.2,NA,0.42279199811445456,NA
EFA (oblimin),100,50,5,0.2,0,1,oblimin,NA,0.865731847804226,NA,3.2778925233843736,NA,0.8375,NA,0.2529411764705882,NA,0.08248309496352284,NA
EFA (oblimin),100,50,5,0.2,0,5,oblimin,NA,4.513244965908089,NA,7.546291628979938,NA,0.75,NA,0.22941176470588234,NA,0.33156342424168767,NA
EFA (oblimin),100,50,5,0.2,1,0.1,oblimin,NA,0.19075919609553552,NA,1.2779307332399519,NA,0.475,NA,0.11176470588235295,NA,0.5806148988355808,NA
EFA (oblimin),100,50,5,0.2,1,1,oblimin,NA,0.8595470765909415,NA,3.4071390071295964,NA,0.6625,NA,0.23529411764705882,NA,0.4727191135808918,NA
EFA (oblimin),100,50,5,0.2,1,5,oblimin,NA,4.5022775006179865,NA,5.739726887947869,NA,0.65,NA,0.24705882352941178,NA,0.258999084393405,NA
EFA (oblimin),100,50,5,0.2,2,0.1,oblimin,NA,0.19802083895816716,NA,1.1925864533139068,NA,0.6,NA,0.12941176470588237,NA,0.58418144485934,NA
EFA (oblimin),100,50,5,0.2,2,1,oblimin,NA,0.8618070737339607,NA,3.488639037895843,NA,0.825,NA,0.18235294117647058,NA,0.14339153788291098,NA
EFA (oblimin),100,50,5,0.2,2,5,oblimin,NA,4.560432186997715,NA,3.89952461869276,NA,0.7875,NA,0.22941176470588234,NA,0.18342052919653584,NA
EFA (oblimin),100,50,5,0.5,0,0.1,oblimin,NA,0.10563166498896806,NA,0.6772290173805295,NA,0.325,NA,0,NA,0.341001400710152,NA
EFA (oblimin),100,50,5,0.5,0,1,oblimin,NA,0.8759143360357804,NA,5.920934106382866,NA,0.66,NA,0,NA,0.41945932343006875,NA
EFA (oblimin),100,50,5,0.5,0,5,oblimin,NA,4.695473355511935,NA,11.42948305423216,NA,0.735,NA,0.32,NA,0.008957108897987613,NA
EFA (oblimin),100,50,5,0.5,1,0.1,oblimin,NA,0.13516583712240357,NA,0.6316533991476483,NA,0.45,NA,0,NA,0.4026989772243237,NA
EFA (oblimin),100,50,5,0.5,1,1,oblimin,NA,0.8434828122796812,NA,6.122247397758898,NA,0.74,NA,0.04,NA,0.38830301112022836,NA
EFA (oblimin),100,50,5,0.5,1,5,oblimin,NA,4.7416209333780746,NA,9.087477421134638,NA,0.69,NA,0.18,NA,0.08264246974134337,NA
EFA (oblimin),100,50,5,0.5,2,0.1,oblimin,NA,0.15747196880981149,NA,1.0076061390786997,NA,0.415,NA,0,NA,0.429939847047991,NA
EFA (oblimin),100,50,5,0.5,2,1,oblimin,NA,0.8191933015919389,NA,4.711658467004883,NA,0.69,NA,0.02,NA,0.3089733853758377,NA
EFA (oblimin),100,50,5,0.5,2,5,oblimin,NA,4.64282784906555,NA,8.480698572613885,NA,0.715,NA,0.22,NA,0.2726103994780289,NA
EFA (oblimin),100,50,5,0.8,0,0.1,oblimin,NA,0.0994400135253678,NA,1.2940758322059622,NA,0.3904761904761905,NA,0,NA,0.24950711237703024,NA
EFA (oblimin),100,50,5,0.8,0,1,oblimin,NA,0.8254466883701475,NA,4.282127151364431,NA,0.7619047619047619,NA,0.1,NA,0.2314713778300472,NA
EFA (oblimin),100,50,5,0.8,0,5,oblimin,NA,4.559513181187236,NA,4.747662650945272,NA,0.7380952380952381,NA,0.175,NA,0.14227726033408772,NA
EFA (oblimin),100,50,5,0.8,1,0.1,oblimin,NA,0.10395403448277776,NA,1.4261611446665245,NA,0.3761904761904762,NA,0,NA,0.14482029683936448,NA
EFA (oblimin),100,50,5,0.8,1,1,oblimin,NA,0.8296800848661936,NA,4.321705912491407,NA,0.7952380952380952,NA,0.125,NA,0.1887883005323978,NA
EFA (oblimin),100,50,5,0.8,1,5,oblimin,NA,4.533937419748081,NA,4.756857560464543,NA,0.7904761904761904,NA,0.1,NA,0.12616982418688233,NA
EFA (oblimin),100,50,5,0.8,2,0.1,oblimin,NA,0.09924249855579012,NA,1.4795651167774508,NA,0.3952380952380952,NA,0,NA,0.2208765395181803,NA
EFA (oblimin),100,50,5,0.8,2,1,oblimin,NA,0.8301436229004423,NA,3.9676239424849578,NA,0.7619047619047619,NA,0.05,NA,0.18478032484211987,NA
EFA (oblimin),100,50,5,0.8,2,5,oblimin,NA,4.466029989963683,NA,4.90133580120383,NA,0.7142857142857143,NA,0.175,NA,0.17069051277305916,NA
EFA (oblimin),100,100,3,0.2,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
