"method","mse","loading_error","false_positive_rate","false_negative_rate","mean_factor_score_cor","used_alpha","rotation_method","n","p","m","alpha","gamma","sigma_sq","rep","lambda","error_message"
"PCA",0.851076286555087,1.13894196454742,0.525,0.545454545454545,-0.133039890852798,NA,NA,100,50,3,0.2,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0857091938839003,1.13884485014511,1,0.254545454545455,-0.29570578996512,1e-17,NA,100,50,3,0.2,0,0.1,1,NA,NA
"EFA (varimax)",0.178660022798814,0.65378327840744,0.65,0.0363636363636364,0.335758798537824,NA,"varimax",100,50,3,0.2,0,0.1,1,NA,NA
"EFA (oblimin)",0.178660022798813,1.28678631346135,0.525,0.136363636363636,0.492445996717721,NA,"oblimin",100,50,3,0.2,0,0.1,1,NA,NA
"EFA (quartimin)",0.178660022798813,1.28678631346135,0.525,0.136363636363636,0.492445996717721,NA,"quartimin",100,50,3,0.2,0,0.1,1,NA,NA
"EFA (quartimax)",0.178660022798814,0.653783278407435,0.975,0.118181818181818,0.342857155411631,NA,"quartimax",100,50,3,0.2,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,3,0.2,0,0.1,1,0.1,NA
"PCA",0.952166269812671,0.923849057002311,0.5,0.581818181818182,-0.0333295700681713,NA,NA,500,50,3,0.2,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0950546408591251,0.923744054325869,1,0.3,0.29585673069494,1e-17,NA,500,50,3,0.2,0,0.1,1,NA,NA
"EFA (varimax)",0.169866256911855,0.39691935896413,0.5,0.0181818181818182,0.350633611357543,NA,"varimax",500,50,3,0.2,0,0.1,1,NA,NA
"EFA (oblimin)",0.169866256911855,1.16941626287419,0.25,0.181818181818182,0.510440989695863,NA,"oblimin",500,50,3,0.2,0,0.1,1,NA,NA
"EFA (quartimin)",0.169866256911855,1.16941626287419,0.25,0.181818181818182,0.510440989695863,NA,"quartimin",500,50,3,0.2,0,0.1,1,NA,NA
"EFA (quartimax)",0.169866256911854,0.396919358964137,0.875,0.1,-0.00965020489440472,NA,"quartimax",500,50,3,0.2,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,3,0.2,0,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,3,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,3,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,3,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.2,0,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.866125808912693,2.18675787631094,0,0.463636363636364,0.126832696041254,NA,NA,500,100,3,0.2,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0970106466294725,2.18648155711991,1,0.359090909090909,0.305281028457443,1e-17,NA,500,100,3,0.2,0,0.1,1,NA,NA
"EFA (varimax)",0.182634695957008,0.95565232434323,0.7875,0.0818181818181818,-0.0281978782241033,NA,"varimax",500,100,3,0.2,0,0.1,1,NA,NA
"EFA (oblimin)",0.182634695957008,2.34942154019784,0.5125,0.25,0.156463449547025,NA,"oblimin",500,100,3,0.2,0,0.1,1,NA,NA
"EFA (quartimin)",0.182634695957008,2.34942154019784,0.5125,0.25,0.156463449547025,NA,"quartimin",500,100,3,0.2,0,0.1,1,NA,NA
